Volume ID	Volume Name	Volume Mass
0	World	6.62442e+29
1	Envelope	6.62442e+29
2	BucketCrystal	4.6412e+28
3	CuShield	7.39075e+27
4	VacuumLayer	58.6288
5	Wall	4.6903e+27
6	Wall	4.40794e+27
7	Bucket	6.84331e+28
8	Bulk	6.27833e+24
9	BEGe	6.93796e+24
10	WireJacket	9.09295e+19
11	SubWire_0	2.89195e+20
12	SubWire_1	2.89195e+20
13	SubWire_2	2.89195e+20
14	SubWire_3	2.89195e+20
15	Conductor	2.04027e+19
16	Jacket	5.06525e+19
17	Braid	7.70226e+19
18	OuterJacket	1.41117e+20
19	PackedBEGe	7.78714e+24
20	PackedBEGe	7.78714e+24
21	Wire	1.64208e+21
22	Wire	1.64208e+21
23	ASIC	2.90854e+21
24	ASIC	2.90854e+21
25	PackedBEGe	7.78714e+24
26	PackedBEGe	7.78714e+24
27	Wire	1.64208e+21
28	Wire	1.64208e+21
29	ASIC	2.90854e+21
30	ASIC	2.90854e+21
31	PackedBEGe	7.78714e+24
32	PackedBEGe	7.78714e+24
33	Wire	1.64208e+21
34	Wire	1.64208e+21
35	ASIC	2.90854e+21
36	ASIC	2.90854e+21
37	PackedBEGe	7.78714e+24
38	PackedBEGe	7.78714e+24
39	Wire	1.64208e+21
40	Wire	1.64208e+21
41	ASIC	2.90854e+21
42	ASIC	2.90854e+21
43	PackedBEGe	7.78714e+24
44	PackedBEGe	7.78714e+24
45	Wire	1.64208e+21
46	Wire	1.64208e+21
47	ASIC	2.90854e+21
48	ASIC	2.90854e+21
49	PackedBEGe	7.78714e+24
50	PackedBEGe	7.78714e+24
51	Wire	1.64208e+21
52	Wire	1.64208e+21
53	ASIC	2.90854e+21
54	ASIC	2.90854e+21
55	PackedBEGe	7.78714e+24
56	PackedBEGe	7.78714e+24
57	Wire	1.64208e+21
58	Wire	1.64208e+21
59	ASIC	2.90854e+21
60	ASIC	2.90854e+21
61	PackedBEGe	7.78714e+24
62	PackedBEGe	7.78714e+24
63	Wire	1.64208e+21
64	Wire	1.64208e+21
65	ASIC	2.90854e+21
66	ASIC	2.90854e+21
67	PackedBEGe	7.78714e+24
68	PackedBEGe	7.78714e+24
69	Wire	1.64208e+21
70	Wire	1.64208e+21
71	ASIC	2.90854e+21
72	ASIC	2.90854e+21
73	PackedBEGe	7.78714e+24
74	PackedBEGe	7.78714e+24
75	Wire	1.64208e+21
76	Wire	1.64208e+21
77	ASIC	2.90854e+21
78	ASIC	2.90854e+21
79	PackedBEGe	7.78714e+24
80	PackedBEGe	7.78714e+24
81	Wire	1.64208e+21
82	Wire	1.64208e+21
83	ASIC	2.90854e+21
84	ASIC	2.90854e+21
85	PackedBEGe	7.78714e+24
86	PackedBEGe	7.78714e+24
87	Wire	1.64208e+21
88	Wire	1.64208e+21
89	ASIC	2.90854e+21
90	ASIC	2.90854e+21
91	PackedBEGe	7.78714e+24
92	PackedBEGe	7.78714e+24
93	Wire	1.64208e+21
94	Wire	1.64208e+21
95	ASIC	2.90854e+21
96	ASIC	2.90854e+21
97	PackedBEGe	7.78714e+24
98	PackedBEGe	7.78714e+24
99	Wire	1.64208e+21
100	Wire	1.64208e+21
101	ASIC	2.90854e+21
102	ASIC	2.90854e+21
103	PackedBEGe	7.78714e+24
104	PackedBEGe	7.78714e+24
105	Wire	1.64208e+21
106	Wire	1.64208e+21
107	ASIC	2.90854e+21
108	ASIC	2.90854e+21
109	World	6.62442e+29
110	Envelope	6.62442e+29
111	BucketCrystal	4.93025e+28
112	CuShield	4.50015e+27
113	VacuumLayer	58.6288
114	Wall	4.6903e+27
115	Wall	4.40794e+27
116	Bucket	6.8433e+28
117	Bulk	6.27956e+24
118	BEGe	6.94386e+24
